"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"4845" "Arthropoda" "Arachnida" "Trigonotarbida" "Aphantomartidae" "Aphantomartus" 336 295.5 37 43
"4862" "Arthropoda" "Insecta" "Hemiptera" "Lygaeidae" "Aphanus" 50.3 2.588 84 93
"4955" "Arthropoda" "Insecta" "Hymenoptera" "Dryinidae" "Aphelopus" 129.4 13.82 73 91
"4957" "Arthropoda" "Insecta" "Hemiptera" "Scytinopteridae" "Apheloscyta" 228 208.5 57 58
"4977" "Arthropoda" "Insecta" "Hemiptera" "Protopsyllidiidae" "Aphidulum" 183 145 61 69
"4980" "Arthropoda" "Insecta" "Hemiptera" "Naucoridae" "Aphlebocoris" 183 182 61 62
"4982" "Arthropoda" "Insecta" "Coleoptera" "Scarabaeidae" "Aphodius" 125 0.0117 74 94
"5102" "Arthropoda" "Insecta" "Hemiptera" "Aphrophoridae" "Aphrophora" 59.2 11.608 83 92
"5133" "Arthropoda" "Insecta" "Blattodea" "Necymylacridae" "Aphthoroblattina" 314.6 298.9 40 42
"5139" "Arthropoda" "Trilobita" "Lichida" "Odontopleuridae" "Apianurus" 471.8 443.4 15 21
"5192" "Arthropoda" "Insecta" "Coleoptera" "Brentidae" "Apion" 59.2 0.0117 83 94
"5211" "Arthropoda" "Insecta" "Coleoptera" "Brentidae" "Apionion" 50.3 13.82 84 91
"5215" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" "Apis" 33.9 0 88 94
"5276" "Arthropoda" "Trilobita" "Phacopida" "Calymenidae" "Apocalymene" 433.4 407.6 24 30
"5314" "Arthropoda" "Insecta" "Diptera" "Mycetophilidae" "Apolephthisa" 125 41.3 74 85
"5317" "Arthropoda" "Trilobita" "Lichida" "Lichidae" "Apolichas" 427.4 423 26 27
"5330" "Arthropoda" "Maxillopoda" "Scalpelliformes" "Scalpellidae" "Aporolepas" 56 33.9 84 87
"5343" "Arthropoda" "Insecta" "Hymenoptera" "Serphitidae" "Aposerphites" 105.3 83.5 75 80
"5345" "Arthropoda" "Insecta" "Coleoptera" "Hydrophilidae" "Aposphinctus" 183 129.4 61 73
"5352" "Arthropoda" "Arachnida" "Araneae" "Liocranidae" "Apostenus" 38 33.9 86 87
"5360" "Arthropoda" "Insecta" "Blattodea" "Necymylacridae" "Apotypoma" 311.45 295.5 40 43
"5365" "Arthropoda" "Insecta" "Diptera" "Apsilocephalidae" "Apsilocephala" 38 33.9 86 87
"5368" "Arthropoda" "Insecta" "Hymenoptera" "Aptenoperissidae" "Aptenoperissus" 99.6 93.5 76 77
"5376" "Arthropoda" "Insecta" "Hemiptera" "Apticoccidae" "Apticoccus" 130 125.45 73 74
"5392" "Arthropoda" "Arachnida" "Araneae" "Ochyroceratidae" "Arachnolithulus" 20.44 13.82 90 91
"5394" "Arthropoda" "Insecta" "Hemiptera" "Aradidae" "Aradus" 125 0 74 94
"5422" "Arthropoda" "Trilobita" "Asaphida" "Alsataspididae" "Araiopleura" 485.4 466 14 17
"5430" "Arthropoda" "Arachnida" "Araneae" "Araneidae" "Araneus" 50.3 11.608 84 92
"5482" "Arthropoda" "Insecta" "Odonata" "Araripegomphidae" "Araripegomphus" 122.46 93.5 74 77
"5491" "Arthropoda" "Insecta" "Orthoptera" "Gryllidae" "Araripegryllus" 122.46 112.03 74 75
"5513" "Arthropoda" "Insecta" "Odonata" "Araripelibellulidae" "Araripelibellula" 145 112.03 70 75
"5519" "Arthropoda" "Insecta" "Neuroptera" "Araripeneuridae" "Araripeneura" 122.46 112.03 74 75
"5529" "Arthropoda" "Insecta" "Neuroptera" "Nymphidae" "Araripenymphes" 122.46 112.03 74 75
"5531" "Arthropoda" "Insecta" "Odonata" "Araripephlebiidae" "Araripephlebia" 122.46 112.03 74 75
"5536" "Arthropoda" "Arachnida" "Scorpiones" "Chactidae" "Araripescorpius" 122.46 112.03 74 75
"5539" "Arthropoda" "Insecta" "Neuroptera" "Osmylidae" "Arbusella" 166.1 157.3 66 67
"5549" "Arthropoda" "Insecta" "Orthoptera" "Haglidae" "Archaboilus" 201.3 157.3 59 67
"5554" "Arthropoda" "Arachnida" "Araneae" "Archaeidae" "Archaea" 38 33.9 86 87
"5574" "Arthropoda" "Insecta" "Hymenoptera" "Agaonidae" "Archaeagaon" 38 33.9 86 87
"5576" "Arthropoda" "Insecta" "Psocodea" "Archaeatropidae" "Archaeatropos" 130 93.5 73 77
"5580" "Arthropoda" "Arachnida" "Araneae" "Lagonomegopidae" "Archaelagonops" 105.3 93.5 75 77
"5585" "Arthropoda" "Insecta" "Palaeodictyoptera" "Archaemegaptilidae" "Archaemegaptilus" 318.1 298.9 39 42
"5588" "Arthropoda" "Insecta" "Ephemeroptera" "Torephemeridae" "Archaeobehningia" 247.2 152.1 53 68
"5590" "Arthropoda" "Insecta" "Coleoptera" "Curculionidae" "Archaeocallirhopalus" 38 33.9 86 87
"5599" "Arthropoda" "Insecta" "Neuroptera" "Chrysopidae" "Archaeochrysa" 56 23.03 84 89
"5605" "Arthropoda" "Insecta" "Trichoptera" "Lepidostomatidae" "Archaeocrunoecia" 38 33.9 86 87
"5610" "Arthropoda" "Insecta" "Coleoptera" "Curculionidae" "Archaeoheilus" 50.3 33.9 84 87
"5617" "Arthropoda" "Insecta" "Hymenoptera" "Heloridae" "Archaeohelorus" 166.1 157.3 66 67
"5621" "Arthropoda" "Maxillopoda" "Scalpelliformes" "Scalpellidae" "Archaeolepas" 150.8 132.9 69 72
"5623" "Arthropoda" "Arachnida" "Trigonotarbida" "Archaeomartidae" "Archaeomartus" 409.1 402.5 30 31
"5627" "Arthropoda" "Insecta" "Trichoptera" "Polycentropodidae" "Archaeoneureclipsis" 38 33.9 86 87
"5641" "Arthropoda" "Insecta" "Trichoptera" "Polycentropodidae" "Archaeopolycentra" 85.8 83.5 79 80
"5643" "Arthropoda" "Insecta" "Hymenoptera" "Armaniidae" "Archaeopone" 93.9 70.6 77 81
