"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"9955" "Cnidaria" "Anthozoa" "Scleractinia" "Pamiroseriidae" "Ceriostella" 242 83.5 54 80
"10000" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Chalcidophyllum" 419.2 387.7 29 32
"10008" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Charactophyllum" 419.2 358.9 29 35
"10027" "Cnidaria" "Anthozoa" "Stauriida" "Ketophyllidae" "Chavsakia" 423 410.8 28 29
"10035" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Cheilosmilia" 163.5 145 67 69
"10048" "Cnidaria" "Anthozoa" "Scleractinia" "Tropidastraeidae" "Chevalieria" 221.5 201.3 57 58
"10052" "Cnidaria" "Anthozoa" "Stauriida" "Waagenophyllidae" "Chihsiaphyllum" 279.3 265.1 46 48
"10054" "Cnidaria" "Anthozoa" "Stauriida" "Kodonophyllidae" "Chlamydophyllum" 427.4 387.7 26 32
"10062" "Cnidaria" "Anthozoa" "Scleractinia" "Microsolenidae" "Chomatoseris" 201.3 152.1 59 68
"10122" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Chondrocoenia" 237 182.7 56 61
"10195" "Cnidaria" "Anthozoa" "Stauriida" "Arachnophyllidae" "Chonophyllum" 443.4 358.9 21 35
"10210" "Cnidaria" "Anthozoa" "Auloporida" "Chonostegitidae" "Chonostegites" 393.3 382.7 32 33
"10213" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Chostophyllum" 410.8 382.7 30 33
"10260" "Cnidaria" "Anthozoa" "Scleractinia" "Mussidae" "Circophyllia" 61.7 23.03 82 89
"10281" "Cnidaria" "Anthozoa" "Stauriida" "Kodonophyllidae" "Circophyllum" 427.4 410.8 26 29
"10286" "Cnidaria" "Anthozoa" "Scleractinia" "Rhizangiidae" "Cladangia" 83.6 0.0117 80 94
